id;emotion;created_at;updated_at;course_id;room_id;user_id
1;good;2018-05-20 14:30:28.732141;2018-05-20 14:30:28.732141;1;1;4
52;good;2019-09-06 07:38:41.078888;2019-09-06 07:38:50.592161;135;150;351
53;nomal;2019-09-06 07:39:34.227769;2019-09-06 07:39:36.538995;117;145;341
54;good;2019-09-06 07:39:49.728352;2019-09-06 07:39:49.728352;110;129;347
2;good;2018-05-22 13:20:03.46744;2018-05-22 14:48:41.630479;1;1;4
3;good;2018-05-23 18:12:06.228529;2018-05-23 18:12:06.228529;2;2;2
16;bad;2018-06-13 05:51:05.396382;2018-06-13 07:30:23.077815;4;3;11
4;good;2018-05-24 08:33:18.879841;2018-05-24 08:33:21.453033;1;1;4
5;good;2018-05-25 05:12:40.77047;2018-05-25 05:12:40.77047;4;3;13
17;good;2018-06-14 12:44:50.872891;2018-06-14 12:44:50.872891;7;6;24
18;bad;2018-06-18 06:43:44.734349;2018-06-18 06:43:44.734349;20;20;127
6;good;2018-05-25 07:11:25.621303;2018-05-25 07:11:27.583405;4;3;11
20;good;2018-06-19 02:14:00.419552;2018-06-19 02:14:00.419552;21;21;149
21;good;2018-06-19 02:14:08.765464;2018-06-19 02:14:08.765464;21;21;156
7;bad;2018-05-26 13:28:40.49698;2018-05-26 16:11:59.666146;1;1;4
55;good;2020-08-29 13:56:03.41878;2020-08-29 13:56:20.405971;151;171;9
22;good;2018-06-19 02:14:23.667979;2018-06-19 02:16:30.239953;21;21;155
19;good;2018-06-19 02:13:58.260444;2018-06-19 02:16:44.44234;21;21;153
23;good;2018-06-19 02:15:59.23988;2018-06-19 02:16:48.38618;21;21;152
24;good;2018-06-19 02:17:01.567217;2018-06-19 02:17:01.567217;21;21;154
25;good;2018-06-19 11:59:07.137859;2018-06-19 11:59:07.137859;21;21;164
26;good;2018-06-29 14:25:59.210941;2018-06-29 14:25:59.210941;9;8;89
27;good;2018-06-30 16:39:16.787557;2018-06-30 16:39:16.787557;4;3;11
28;nomal;2018-06-30 16:40:10.775127;2018-06-30 16:40:10.775127;4;3;12
29;bad;2018-06-30 16:40:38.335675;2018-06-30 16:40:41.35378;4;3;13
30;good;2018-06-30 16:41:11.3845;2018-06-30 16:41:11.3845;4;3;14
31;good;2018-06-30 16:41:54.432413;2018-06-30 16:41:54.432413;4;3;16
32;good;2018-06-30 16:42:24.089812;2018-06-30 16:42:24.089812;4;3;18
33;good;2018-07-03 12:43:25.736389;2018-07-03 12:43:25.736389;4;3;11
34;good;2018-07-04 03:49:17.693086;2018-07-04 03:49:17.693086;4;3;11
8;bad;2018-05-27 06:57:27.6377;2018-05-27 13:07:10.463842;1;1;4
9;good;2018-05-27 14:10:43.480133;2018-05-27 14:10:43.480133;4;3;11
35;good;2018-08-19 07:22:09.937676;2018-08-19 07:22:12.113466;25;90;216
36;good;2018-08-19 08:00:40.841831;2018-08-19 08:00:40.841831;65;40;229
10;good;2018-05-28 08:07:34.56379;2018-05-28 08:48:58.900862;4;3;11
11;good;2018-06-09 07:32:00.528772;2018-06-09 07:32:00.528772;4;3;11
12;good;2018-06-10 06:17:35.486348;2018-06-10 06:17:35.486348;9;8;89
37;good;2018-09-27 04:27:29.18121;2018-09-27 04:27:30.317861;4;3;11
13;nomal;2018-06-11 12:49:30.500577;2018-06-11 12:49:33.04038;7;6;33
14;nomal;2018-06-11 16:59:59.076343;2018-06-11 16:59:59.076343;2;2;2
15;bad;2018-06-12 09:58:36.036566;2018-06-12 09:58:36.036566;4;3;11
38;nomal;2018-09-28 03:46:08.583783;2018-09-28 03:46:09.752395;4;3;11
39;good;2019-01-08 08:22:19.035407;2019-01-08 08:22:25.358356;4;3;11
40;good;2019-09-03 00:15:45.593914;2019-09-03 00:15:47.724096;95;116;286
41;bad;2019-09-03 00:32:49.421535;2019-09-03 00:32:49.421535;95;116;287
42;good;2019-09-06 07:27:18.520024;2019-09-06 07:27:18.520024;119;121;325
43;good;2019-09-06 07:36:49.839896;2019-09-06 07:36:49.839896;103;122;333
44;good;2019-09-06 07:36:50.914419;2019-09-06 07:36:50.914419;122;125;332
45;good;2019-09-06 07:36:51.560413;2019-09-06 07:36:51.560413;112;128;334
46;good;2019-09-06 07:36:53.894629;2019-09-06 07:36:53.894629;139;151;340
48;good;2019-09-06 07:36:56.19046;2019-09-06 07:36:56.19046;107;132;349
49;good;2019-09-06 07:36:57.937117;2019-09-06 07:36:57.937117;127;123;332
47;good;2019-09-06 07:36:55.785459;2019-09-06 07:37:00.730107;114;136;326
50;good;2019-09-06 07:37:55.341535;2019-09-06 07:37:55.341535;138;154;338
51;good;2019-09-06 07:38:06.191516;2019-09-06 07:38:06.191516;121;120;327
